basis_id,source0_addr,source1_addr,target_addr,coeff,weak_class_code,source_pair_id,closure_volume,source0_margin,source1_margin
0,118,984,107,1,11,117214,102914770,1,878
1,119,880,77,2,11,118095,95993760,1,30
2,119,983,107,1,11,118198,103674240,1,1
3,120,984,108,1,11,119184,104525245,1,877
4,127,752,33,4,11,125847,91757568,1,12
5,127,880,78,1,11,125975,102280576,11,29
6,127,984,109,1,11,126079,110446080,16,876
7,130,732,0,4,11,128782,94582655,1,33
8,130,982,107,1,11,129032,113062694,1,18
9,133,731,0,4,11,131736,96616680,2,1
10,133,732,1,8,11,131737,96650448,1,32
11,134,751,33,4,11,132741,96647040,1,1
12,135,982,108,1,11,133957,117244376,3,17
13,136,752,34,2,11,134712,98106111,3,11
14,136,880,89,1,11,134840,108144512,6,18
15,136,982,111,1,11,134942,117702454,3,14
16,136,984,125,1,11,134944,116052700,12,860
17,137,751,34,4,11,135696,98690976,1,3
18,137,752,37,4,11,135697,98510472,2,8
19,137,772,45,2,11,135717,100273560,1,8
20,137,879,77,2,11,135824,110267520,2,18
21,137,880,95,2,11,135825,108204420,10,12
22,137,979,107,2,11,135924,118740720,6,4
23,137,981,111,1,11,135926,118440984,2,3
24,137,984,137,2,3,135929,115268640,1,848
25,138,730,0,4,11,136660,100084865,139,2
26,138,732,2,4,11,136662,100154921,137,31
27,138,750,33,2,11,136680,99378328,118,2
28,138,751,35,4,11,136681,99301600,116,4
29,138,752,39,12,11,136682,99014982,112,6
30,138,770,45,2,11,136700,100738860,122,1
31,138,772,46,1,11,136702,100892733,121,7
32,138,836,53,1,11,136766,108431676,118,24
33,138,876,77,2,11,136806,110687924,106,1
34,138,877,78,1,11,136807,110692094,105,1
35,138,879,79,2,11,136809,110821920,104,26
36,138,880,105,6,11,136810,107763920,78,2
37,138,969,107,1,11,136899,118380740,88,2
38,138,972,109,1,11,136902,118476372,86,4
39,138,981,113,1,11,136911,119026256,82,1
40,138,982,114,1,11,136912,119010827,81,24
41,138,984,138,2,3,136914,115967005,57,847
42,196,984,195,1,11,194044,153295550,2,790
43,201,984,197,1,11,198969,156788360,1,788
44,203,880,183,1,11,200835,144138648,5,12
45,203,983,197,1,11,200938,158179968,7,1
46,203,984,198,1,11,200939,158139780,6,787
47,204,880,188,6,11,201820,143942185,1,7
48,204,984,204,2,3,201924,157703425,1,781
49,207,984,205,1,11,204879,159806400,1,780
50,209,879,183,2,11,206744,148209600,3,6
51,209,983,205,1,11,206848,161179200,3,1
52,209,984,206,1,11,206849,161136150,2,779
53,210,752,151,2,11,207602,132508422,1,16
54,210,880,189,1,11,207730,147969236,4,6
55,210,982,195,1,11,207832,163856270,4,13
56,210,984,208,1,11,207834,161487795,3,777
57,211,836,171,1,11,208671,144439416,1,12
58,212,984,211,2,11,209804,162389070,2,774
59,213,772,167,2,11,210577,135315196,1,4
60,213,878,183,1,11,210683,150861012,1,3
61,213,880,193,2,11,210685,149318928,1,2
62,213,984,213,2,3,210789,162729880,1,772
63,214,732,139,2,11,211522,133325370,76,12
64,214,750,151,2,11,211540,134661810,72,1
65,214,752,152,12,11,211542,134858535,71,15
66,214,770,167,2,11,211560,135595770,60,1
67,214,772,168,1,11,211562,135781315,59,3
68,214,834,171,1,11,211624,146133350,70,1
69,214,836,172,1,11,211626,146303415,69,11
70,214,877,183,1,11,211667,151393540,80,1
71,214,878,184,2,11,211668,151376985,79,2
72,214,879,186,2,11,211669,151170800,77,8
73,214,880,194,6,11,211670,149827265,69,1
74,214,972,195,1,11,211762,165264050,76,4
75,214,982,199,1,11,211772,166117170,72,15
76,214,984,214,2,3,211774,163278525,57,771
77,284,772,227,32,11,280512,166991190,1,14
78,287,772,228,16,11,283467,168526368,1,13
79,288,984,271,1,11,284664,203250810,3,714
80,289,771,227,32,11,285436,169701040,6,2
81,289,772,229,16,11,285437,169472520,4,12
82,289,984,274,1,11,285649,203097150,13,711
83,290,732,215,2,11,286382,164243310,76,8
84,290,752,223,1,11,286402,166971726,92,4
85,290,762,227,32,11,286412,168301014,100,1
86,290,770,228,16,11,286420,169841277,99,5
87,290,772,233,2,11,286422,169157136,94,8
88,290,836,241,2,11,286486,181213848,108,22
89,290,880,263,1,11,286530,185099862,172,8
90,290,975,271,1,11,286625,202787424,196,1
91,290,979,272,2,11,286629,203333340,195,4
92,290,981,276,2,11,286631,202605258,191,3
93,290,983,279,1,11,286633,202158864,188,8
94,290,984,287,1,11,286634,200071230,180,698
95,490,984,467,2,11,483634,250522930,3,518
96,492,983,467,1,11,485603,251288016,3,3
97,493,982,467,2,11,486587,251541836,3,3
98,498,984,470,1,11,491514,253130225,4,515
99,501,984,474,1,11,494469,252674170,6,511
100,505,984,480,1,11,498409,251697050,7,505
101,506,983,485,1,11,499393,249444000,2,2
102,510,752,315,1,11,503102,257804610,1,12
103,510,880,435,1,11,503230,247605050,24,32
104,510,984,487,1,11,503334,250660830,24,498
105,511,982,472,1,11,504317,258190848,8,39
106,518,984,511,1,11,511214,242315910,1,474
107,523,772,327,2,11,515927,266524216,1,22
108,525,836,349,8,11,517961,280006632,2,86
109,525,982,480,1,11,518107,261114290,7,32
110,526,984,512,1,11,519094,245531935,1,473
111,527,832,349,8,11,519927,279728064,2,2
112,527,982,487,1,11,520077,258473952,10,26
113,528,772,328,2,11,520852,268658469,5,21
114,528,982,497,1,11,521062,253763416,19,16
115,528,984,513,1,11,521064,245942680,9,472
116,529,751,315,1,11,521816,267035200,2,1
117,529,752,316,1,11,521817,266991210,3,11
118,529,772,333,4,11,521837,267117880,3,16
119,529,823,349,8,11,521888,277753920,2,1
120,529,826,350,8,11,521891,278326850,1,1
121,529,879,435,1,11,521944,256520000,2,24
122,529,880,459,1,11,521945,245605180,1,8
123,529,981,467,1,11,522046,269598280,7,49
124,529,983,516,1,11,522048,244592880,3,6
125,529,984,522,1,11,522049,241709150,1,463
126,530,732,291,1,11,522782,270120762,240,24
127,530,747,315,1,11,522797,266115960,246,1
128,530,748,316,1,11,522798,266074011,245,1
129,530,751,317,1,11,522801,266740416,244,2
130,530,752,319,1,11,522802,266295438,242,8
131,530,770,327,2,11,522820,269385858,246,8
132,530,771,335,4,11,522821,266455800,238,1
133,530,772,336,4,11,522822,266390487,237,13
134,530,815,349,8,11,522865,275576256,232,2
135,530,836,351,2,11,522886,281779398,230,84
136,530,872,435,2,11,522922,254959650,178,2
137,530,879,437,1,11,522929,256069440,176,23
138,530,880,460,1,11,522930,245600775,153,7
139,530,954,467,2,11,523004,262680390,190,2
140,530,958,469,2,11,523008,262762164,188,3
141,530,979,472,1,11,523029,266954940,185,2
142,530,981,474,1,11,523031,266456862,183,42
143,530,982,516,2,11,523032,244805337,141,3
144,530,983,519,1,11,523033,243486864,138,4
145,530,984,523,1,11,523034,241642170,134,462
146,693,752,561,4,11,683357,221574768,1,12
147,694,836,581,1,11,684426,235012860,2,32
148,696,732,531,2,11,686292,231949054,1,30
149,696,752,562,2,11,686312,222007743,1,11
150,697,836,583,1,11,687381,234858852,1,30
151,697,984,657,1,11,687529,225509840,15,328
152,698,727,531,2,11,688257,231027888,1,1
153,698,752,563,2,11,688282,222118434,3,10
154,698,836,584,2,11,688366,234610263,8,29
155,698,880,613,1,11,688410,229084668,5,44
156,698,983,657,1,11,688513,225603648,15,15
157,699,752,566,6,11,689267,220854900,6,7
158,699,772,573,1,11,689287,222933200,2,8
159,699,834,581,1,11,689349,236138000,7,1
160,699,835,582,1,11,689350,235835600,6,10
161,699,836,592,1,11,689351,230258700,13,21
162,699,876,613,1,11,689391,228370800,3,1
163,699,878,614,2,11,689393,228276300,2,2
164,699,879,616,2,11,689394,227304000,2,2
165,699,970,657,1,11,689485,222941600,4,1
166,699,979,658,1,11,689494,224322000,14,3
167,699,981,661,1,11,689496,222717600,11,7
168,699,982,668,1,11,689497,218127700,4,4
169,700,726,531,2,11,690226,231370658,170,1
170,700,732,532,1,11,690232,232766349,169,29
171,700,751,561,2,11,690251,223512448,172,11
172,700,752,572,6,11,690252,218003289,161,1
173,700,771,573,1,11,690271,222962864,180,2
174,700,772,575,1,11,690272,222167930,178,6
175,700,825,581,1,11,690325,233926504,192,1
176,700,826,582,1,11,690326,233629981,191,1
177,700,832,583,1,11,690332,234741066,190,5
178,700,835,588,1,11,690335,232656292,185,17
179,700,836,605,1,11,690336,222960060,168,8
180,700,872,613,1,11,690372,227653956,224,1
181,700,875,614,2,11,690375,227822196,223,2
182,700,878,616,2,11,690378,227370051,221,2
183,700,880,618,6,11,690380,226652227,219,39
184,700,967,657,1,11,690467,222570304,224,4
185,700,970,661,1,11,690470,220537404,220,11
186,700,984,672,1,11,690484,216121805,209,313
187,958,836,773,1,12,944466,170168796,2,64
188,969,880,837,1,12,955345,126476360,3,44
189,969,984,881,1,11,955449,99366800,12,104
190,970,732,701,1,12,956182,202135012,1,32
191,970,880,840,1,12,956330,124040395,5,41
192,971,836,775,1,12,957271,170848440,2,62
193,972,752,733,1,12,958172,184632588,5,20
194,972,836,777,2,12,958256,169395408,16,60
195,972,878,837,1,12,958298,126579516,1,1
196,972,982,881,1,11,958402,99471736,1,12
197,974,836,793,1,12,960226,156686400,1,44
198,977,835,773,1,12,963180,173332896,2,21
199,978,772,753,2,12,964102,175569944,1,20
200,978,831,773,1,12,964161,172679936,1,1
201,979,732,702,2,12,965047,203290220,2,31
202,979,750,733,1,12,965065,185466960,2,2
203,979,767,753,4,12,965082,174612480,6,1
204,979,772,754,1,12,965087,174991740,5,19
205,979,833,774,1,12,965148,172454520,6,1
206,979,835,775,2,12,965150,172048800,5,19
207,979,879,838,1,12,965194,126772800,7,7
208,980,982,882,1,11,966282,99325269,11,11
209,981,732,704,1,12,967017,202265486,3,29
210,981,830,774,1,12,967115,172184862,2,6
211,981,874,837,1,12,967159,127169000,2,2
212,982,731,701,1,12,968001,204353904,6,6
213,982,745,733,1,12,968015,184796136,1,2
214,982,751,735,1,12,968021,184804000,3,3
215,982,752,738,1,12,968022,182829153,14,15
216,982,772,759,2,12,968042,171728134,2,14
217,982,828,773,1,12,968098,172760284,1,3
218,982,835,780,1,12,968105,168466540,30,14
219,982,836,794,1,12,968106,157149261,16,43
220,982,876,839,1,12,968146,125865286,1,3
221,982,959,881,1,12,968229,98142720,12,1
222,982,980,882,1,12,968250,99325269,11,11
223,983,730,703,1,12,968985,202843728,5,4
224,983,732,707,1,12,968987,200513616,8,26
225,983,757,753,1,12,969012,173042304,1,1
226,983,828,774,1,12,969083,172120296,2,2
227,983,836,810,1,12,969091,144131400,7,27
228,983,866,838,1,12,969121,125409816,1,1
229,984,714,701,1,12,969954,200014100,284,2
230,984,726,703,1,12,969966,201938790,282,4
231,984,729,707,1,12,969969,199895900,278,1
232,984,730,708,1,12,969970,199449695,277,7
233,984,732,715,1,12,969972,194941350,270,18
234,984,742,733,1,12,969982,184427460,252,1
235,984,745,734,1,12,969985,184437310,251,1
236,984,748,735,2,12,969988,184441250,250,2
237,984,750,737,1,12,969990,183454280,248,1
238,984,751,738,2,12,969991,182957840,247,14
239,984,752,752,2,5,969992,172817265,233,1
240,984,756,753,2,12,969996,172989640,232,1
241,984,758,754,1,12,969998,172699065,231,5
242,984,770,759,1,12,970010,171632310,226,2
243,984,772,761,1,12,970012,170554720,224,12
244,984,824,773,1,12,970064,172276500,212,3
245,984,830,776,2,12,970070,171073815,209,33
246,984,834,809,1,12,970074,144755600,176,4
247,984,835,813,2,12,970075,141635120,172,4
248,984,836,817,1,12,970076,138506760,168,20
249,984,865,837,1,12,970105,126245480,148,2
250,984,875,839,1,12,970115,125977560,146,1
251,984,876,840,1,12,970116,125257525,145,2
252,984,878,842,1,12,970118,123811545,143,3
253,984,880,845,1,12,970120,121489900,140,36
254,984,924,881,1,12,970164,94757000,104,2
255,984,926,883,1,12,970166,93135690,102,3
256,984,948,886,1,12,970188,92541735,99,2
257,984,958,888,1,12,970198,91627655,97,5
258,984,984,893,2,2,970224,89260700,92,92
