term_id,class_id,gap_kind,coeff_num,coeff_den,exp12_n,exp12_x,exp12_const,exp18_n,exp18_x,exp18_const,exp48_n,exp48_x,exp48_const
0,0,1,1,15,1,0,-1,0,0,1,1,0,1
1,0,1,1,180,1,0,-1,0,0,3,1,0,1
2,0,1,14,5,1,0,-1,1,0,1,0,0,0
3,0,1,7,30,1,0,-1,1,0,3,0,0,0
4,0,1,-1,15,1,0,-2,0,0,3,1,0,0
5,0,1,-14,5,1,0,-2,1,0,2,0,0,0
6,0,1,-1,15,1,0,0,0,0,0,1,0,1
7,0,1,-1,180,1,0,0,0,0,1,1,0,2
8,0,1,-14,5,1,0,0,1,0,0,0,0,0
9,0,1,-7,30,1,0,0,1,0,2,0,0,0
10,0,1,1,15,1,0,1,0,0,0,1,0,0
11,0,1,1,180,1,0,1,0,0,0,1,0,2
12,0,1,14,5,1,0,1,1,0,-1,0,0,0
13,0,1,7,30,1,0,1,1,0,1,0,0,0
14,0,1,-1,180,1,0,2,0,0,0,1,0,1
15,0,1,-7,30,1,0,2,1,0,0,0,0,0
16,0,1,1,3,2,0,-2,0,0,3,0,0,0
17,0,1,-1,3,2,0,0,0,0,1,0,0,0
18,0,1,-1,36,2,0,0,0,0,3,0,0,0
19,0,1,1,36,2,0,2,0,0,1,0,0,0
20,1,0,-1,15,1,0,-1,0,0,1,1,0,1
21,1,0,1,15,1,0,-1,0,0,2,1,0,0
22,1,0,1,15,1,0,0,0,0,0,1,0,1
23,1,0,1,180,1,0,0,0,0,1,1,0,2
24,1,0,-1,180,1,0,0,0,0,2,1,0,1
25,1,0,14,5,1,0,0,1,0,0,0,0,0
26,1,0,-1,15,1,0,1,0,0,0,1,0,0
27,1,0,-1,180,1,0,1,0,0,0,1,0,2
28,1,0,-14,5,1,0,1,1,0,-1,0,0,0
29,1,0,-7,30,1,0,1,1,0,1,0,0,0
30,1,0,1,180,1,0,2,0,0,0,1,0,1
31,1,0,7,30,1,0,2,1,0,0,0,0,0
32,1,0,-1,3,2,0,-1,0,0,2,0,0,0
33,1,0,1,3,2,0,0,0,0,1,0,0,0
34,1,0,1,36,2,0,1,0,0,2,0,0,0
35,1,0,-1,36,2,0,2,0,0,1,0,0,0
36,1,1,-1,180,1,0,-1,0,0,2,1,0,2
37,1,1,-7,30,1,0,-1,1,0,3,0,0,0
38,1,1,1,15,1,0,-2,0,0,2,1,0,1
39,1,1,14,5,1,0,-2,1,0,2,0,0,0
40,1,1,1,180,1,0,-3,0,0,5,1,0,1
41,1,1,7,30,1,0,-3,1,0,5,0,0,0
42,1,1,-1,15,1,0,-4,0,0,5,1,0,0
43,1,1,-14,5,1,0,-4,1,0,4,0,0,0
44,1,1,-1,15,1,0,0,0,0,0,1,0,1
45,1,1,-14,5,1,0,0,1,0,0,0,0,0
46,1,1,1,15,1,0,1,0,0,0,1,0,0
47,1,1,1,180,1,0,1,0,0,0,1,0,2
48,1,1,14,5,1,0,1,1,0,-1,0,0,0
49,1,1,7,30,1,0,1,1,0,1,0,0,0
50,1,1,-1,180,1,0,2,0,0,0,1,0,1
51,1,1,-7,30,1,0,2,1,0,0,0,0,0
52,1,1,-1,3,2,0,-1,0,0,2,0,0,0
53,1,1,-1,36,2,0,-2,0,0,5,0,0,0
54,1,1,1,3,2,0,-4,0,0,5,0,0,0
55,1,1,1,36,2,0,1,0,0,2,0,0,0
56,2,0,1,180,1,0,-1,0,0,2,1,0,2
57,2,0,7,30,1,0,-1,1,0,3,0,0,0
58,2,0,-1,15,1,0,-2,0,0,2,1,0,1
59,2,0,-1,180,1,0,-2,0,0,4,1,0,1
60,2,0,-14,5,1,0,-2,1,0,2,0,0,0
61,2,0,-7,30,1,0,-2,1,0,4,0,0,0
62,2,0,1,15,1,0,-3,0,0,4,1,0,0
63,2,0,14,5,1,0,-3,1,0,3,0,0,0
64,2,0,1,15,1,0,0,0,0,0,1,0,1
65,2,0,14,5,1,0,0,1,0,0,0,0,0
66,2,0,-1,15,1,0,1,0,0,0,1,0,0
67,2,0,-1,180,1,0,1,0,0,0,1,0,2
68,2,0,-14,5,1,0,1,1,0,-1,0,0,0
69,2,0,-7,30,1,0,1,1,0,1,0,0,0
70,2,0,1,180,1,0,2,0,0,0,1,0,1
71,2,0,7,30,1,0,2,1,0,0,0,0,0
72,2,0,1,3,2,0,-1,0,0,2,0,0,0
73,2,0,1,36,2,0,-1,0,0,4,0,0,0
74,2,0,-1,3,2,0,-3,0,0,4,0,0,0
75,2,0,-1,36,2,0,1,0,0,2,0,0,0
76,2,1,-1,180,1,0,-2,0,0,3,1,0,2
77,2,1,-7,30,1,0,-2,1,0,4,0,0,0
78,2,1,1,15,1,0,-3,0,0,3,1,0,1
79,2,1,14,5,1,0,-3,1,0,3,0,0,0
80,2,1,1,180,1,0,-4,0,0,6,1,0,1
81,2,1,7,30,1,0,-4,1,0,6,0,0,0
82,2,1,-1,15,1,0,-5,0,0,6,1,0,0
83,2,1,-14,5,1,0,-5,1,0,5,0,0,0
84,2,1,-1,15,1,0,0,0,0,0,1,0,1
85,2,1,-14,5,1,0,0,1,0,0,0,0,0
86,2,1,1,15,1,0,1,0,0,0,1,0,0
87,2,1,1,180,1,0,1,0,0,0,1,0,2
88,2,1,14,5,1,0,1,1,0,-1,0,0,0
89,2,1,7,30,1,0,1,1,0,1,0,0,0
90,2,1,-1,180,1,0,2,0,0,0,1,0,1
91,2,1,-7,30,1,0,2,1,0,0,0,0,0
92,2,1,-1,3,2,0,-2,0,0,3,0,0,0
93,2,1,-1,36,2,0,-3,0,0,6,0,0,0
94,2,1,1,3,2,0,-5,0,0,6,0,0,0
95,2,1,1,36,2,0,0,0,0,3,0,0,0
96,3,0,1,180,1,0,-2,0,0,3,1,0,2
97,3,0,7,30,1,0,-2,1,0,4,0,0,0
98,3,0,-1,15,1,0,-3,0,0,3,1,0,1
99,3,0,-1,180,1,0,-3,0,0,5,1,0,1
100,3,0,-14,5,1,0,-3,1,0,3,0,0,0
101,3,0,-7,30,1,0,-3,1,0,5,0,0,0
102,3,0,1,15,1,0,-4,0,0,5,1,0,0
103,3,0,14,5,1,0,-4,1,0,4,0,0,0
104,3,0,1,15,1,0,0,0,0,0,1,0,1
105,3,0,14,5,1,0,0,1,0,0,0,0,0
106,3,0,-1,15,1,0,1,0,0,0,1,0,0
107,3,0,-1,180,1,0,1,0,0,0,1,0,2
108,3,0,-14,5,1,0,1,1,0,-1,0,0,0
109,3,0,-7,30,1,0,1,1,0,1,0,0,0
110,3,0,1,180,1,0,2,0,0,0,1,0,1
111,3,0,7,30,1,0,2,1,0,0,0,0,0
112,3,0,1,3,2,0,-2,0,0,3,0,0,0
113,3,0,1,36,2,0,-2,0,0,5,0,0,0
114,3,0,-1,3,2,0,-4,0,0,5,0,0,0
115,3,0,-1,36,2,0,0,0,0,3,0,0,0
116,3,1,-1,180,1,0,-3,0,0,4,1,0,2
117,3,1,-7,30,1,0,-3,1,0,5,0,0,0
118,3,1,1,15,1,0,-4,0,0,4,1,0,1
119,3,1,14,5,1,0,-4,1,0,4,0,0,0
120,3,1,1,180,1,0,-6,0,0,8,1,0,1
121,3,1,7,30,1,0,-6,1,0,8,0,0,0
122,3,1,-1,15,1,0,-7,0,0,8,1,0,0
123,3,1,-14,5,1,0,-7,1,0,7,0,0,0
124,3,1,-1,15,1,0,0,0,0,0,1,0,1
125,3,1,-14,5,1,0,0,1,0,0,0,0,0
126,3,1,1,15,1,0,1,0,0,0,1,0,0
127,3,1,1,180,1,0,1,0,0,0,1,0,2
128,3,1,14,5,1,0,1,1,0,-1,0,0,0
129,3,1,7,30,1,0,1,1,0,1,0,0,0
130,3,1,-1,180,1,0,2,0,0,0,1,0,1
131,3,1,-7,30,1,0,2,1,0,0,0,0,0
132,3,1,1,36,2,0,-1,0,0,4,0,0,0
133,3,1,-1,3,2,0,-3,0,0,4,0,0,0
134,3,1,-1,36,2,0,-5,0,0,8,0,0,0
135,3,1,1,3,2,0,-7,0,0,8,0,0,0
136,4,0,-1,180,1,-1,-1,0,1,3,1,0,1
137,4,0,-7,30,1,-1,-1,1,1,3,0,0,0
138,4,0,1,15,1,-1,-2,0,1,3,1,0,0
139,4,0,14,5,1,-1,-2,1,1,2,0,0,0
140,4,0,-1,15,1,-1,0,0,1,0,1,0,1
141,4,0,-14,5,1,-1,0,1,1,0,0,0,0
142,4,0,1,180,1,-1,1,0,1,0,1,0,2
143,4,0,7,30,1,-1,1,1,1,1,0,0,0
144,4,0,1,15,1,0,0,0,0,0,1,0,1
145,4,0,14,5,1,0,0,1,0,0,0,0,0
146,4,0,-1,15,1,0,1,0,0,0,1,0,0
147,4,0,-1,180,1,0,1,0,0,0,1,0,2
148,4,0,-14,5,1,0,1,1,0,-1,0,0,0
149,4,0,-7,30,1,0,1,1,0,1,0,0,0
150,4,0,1,180,1,0,2,0,0,0,1,0,1
151,4,0,7,30,1,0,2,1,0,0,0,0,0
152,4,0,-1,3,2,-1,-2,0,1,3,0,0,0
153,4,0,1,36,2,-1,0,0,1,3,0,0,0
154,4,0,1,3,2,-1,1,0,1,0,0,0,0
155,4,0,-1,36,2,-1,3,0,1,0,0,0,0
156,4,1,1,15,1,-1,-1,0,1,1,1,0,1
157,4,1,14,5,1,-1,-1,1,1,1,0,0,0
158,4,1,1,180,1,-1,-3,0,1,5,1,0,1
159,4,1,7,30,1,-1,-3,1,1,5,0,0,0
160,4,1,-1,15,1,-1,-4,0,1,5,1,0,0
161,4,1,-14,5,1,-1,-4,1,1,4,0,0,0
162,4,1,-1,180,1,-1,0,0,1,1,1,0,2
163,4,1,-7,30,1,-1,0,1,1,2,0,0,0
164,4,1,-1,15,1,0,0,0,0,0,1,0,1
165,4,1,-14,5,1,0,0,1,0,0,0,0,0
166,4,1,1,15,1,0,1,0,0,0,1,0,0
167,4,1,1,180,1,0,1,0,0,0,1,0,2
168,4,1,14,5,1,0,1,1,0,-1,0,0,0
169,4,1,7,30,1,0,1,1,0,1,0,0,0
170,4,1,-1,180,1,0,2,0,0,0,1,0,1
171,4,1,-7,30,1,0,2,1,0,0,0,0,0
172,4,1,-1,36,2,-1,-2,0,1,5,0,0,0
173,4,1,1,3,2,-1,-4,0,1,5,0,0,0
174,4,1,-1,3,2,-1,0,0,1,1,0,0,0
175,4,1,1,36,2,-1,2,0,1,1,0,0,0
176,5,0,-1,180,1,-1,-1,0,1,3,1,0,1
177,5,0,-7,30,1,-1,-1,1,1,3,0,0,0
178,5,0,1,15,1,-1,-2,0,1,3,1,0,0
179,5,0,14,5,1,-1,-2,1,1,2,0,0,0
180,5,0,-1,15,1,-1,0,0,1,0,1,0,1
181,5,0,-14,5,1,-1,0,1,1,0,0,0,0
182,5,0,1,180,1,-1,1,0,1,0,1,0,2
183,5,0,7,30,1,-1,1,1,1,1,0,0,0
184,5,0,1,15,1,0,0,0,0,0,1,0,1
185,5,0,14,5,1,0,0,1,0,0,0,0,0
186,5,0,-1,15,1,0,1,0,0,0,1,0,0
187,5,0,-1,180,1,0,1,0,0,0,1,0,2
188,5,0,-14,5,1,0,1,1,0,-1,0,0,0
189,5,0,-7,30,1,0,1,1,0,1,0,0,0
190,5,0,1,180,1,0,2,0,0,0,1,0,1
191,5,0,7,30,1,0,2,1,0,0,0,0,0
192,5,0,-1,3,2,-1,-2,0,1,3,0,0,0
193,5,0,1,36,2,-1,0,0,1,3,0,0,0
194,5,0,1,3,2,-1,1,0,1,0,0,0,0
195,5,0,-1,36,2,-1,3,0,1,0,0,0,0
196,5,1,16,25,0,0,0,1,0,0,1,0,0
197,5,1,-1,15,0,0,0,1,0,1,1,0,0
198,5,1,-1,75,0,0,0,2,-1,-4,0,1,5
199,5,1,672,25,0,0,0,2,0,-1,0,0,0
200,5,1,-14,5,0,0,0,2,0,0,0,0,0
201,5,1,-14,25,0,0,0,3,-1,-5,-1,1,5
202,5,1,1,15,1,-1,-1,0,1,1,1,0,1
203,5,1,14,5,1,-1,-1,1,1,1,0,0,0
204,5,1,1,180,1,-1,-3,0,1,5,1,0,1
205,5,1,7,30,1,-1,-3,1,1,5,0,0,0
206,5,1,-1,180,1,-1,0,0,1,1,1,0,2
207,5,1,-7,30,1,-1,0,1,1,2,0,0,0
208,5,1,-1,15,1,0,0,0,0,0,1,0,1
209,5,1,-6,1,1,0,0,1,0,0,0,0,0
210,5,1,1,3,1,0,0,1,0,1,0,0,0
211,5,1,1,15,1,0,0,2,-1,-4,-1,1,5
212,5,1,1,15,1,0,1,0,0,0,1,0,0
213,5,1,1,180,1,0,1,0,0,0,1,0,2
214,5,1,14,5,1,0,1,1,0,-1,0,0,0
215,5,1,7,30,1,0,1,1,0,1,0,0,0
216,5,1,-1,180,1,0,2,0,0,0,1,0,1
217,5,1,-7,30,1,0,2,1,0,0,0,0,0
218,5,1,-1,36,2,-1,-2,0,1,5,0,0,0
219,5,1,-1,3,2,-1,0,0,1,1,0,0,0
220,5,1,1,36,2,-1,2,0,1,1,0,0,0
221,6,0,1,15,0,0,0,1,0,1,1,0,0
222,6,0,14,5,0,0,0,2,0,0,0,0,0
223,6,0,-1,180,0,0,1,1,0,1,1,0,1
224,6,0,-7,30,0,0,1,2,0,1,0,0,0
225,6,0,-1,15,0,0,2,1,0,-2,1,0,1
226,6,0,-14,5,0,0,2,2,0,-2,0,0,0
227,6,0,1,180,0,0,3,1,0,-2,1,0,2
228,6,0,7,30,0,0,3,2,0,-1,0,0,0
229,6,0,1,15,1,0,0,0,0,0,1,0,1
230,6,0,14,5,1,0,0,1,0,0,0,0,0
231,6,0,-1,3,1,0,0,1,0,1,0,0,0
232,6,0,-1,15,1,0,1,0,0,0,1,0,0
233,6,0,-1,180,1,0,1,0,0,0,1,0,2
234,6,0,-14,5,1,0,1,1,0,-1,0,0,0
235,6,0,-7,30,1,0,1,1,0,1,0,0,0
236,6,0,1,180,1,0,2,0,0,0,1,0,1
237,6,0,7,30,1,0,2,1,0,0,0,0,0
238,6,0,1,36,1,0,2,1,0,1,0,0,0
239,6,0,1,3,1,0,3,1,0,-2,0,0,0
240,6,0,-1,36,1,0,5,1,0,-2,0,0,0
241,6,1,-1,75,0,0,0,1,0,-1,1,0,2
242,6,1,16,25,0,0,0,1,0,0,1,0,0
243,6,1,1,900,0,0,0,1,0,0,1,0,3
244,6,1,-1,15,0,0,0,1,0,1,1,0,0
245,6,1,-4,75,0,0,0,1,0,1,1,0,1
246,6,1,1,180,0,0,0,1,0,2,1,0,1
247,6,1,672,25,0,0,0,2,0,-1,0,0,0
248,6,1,-14,25,0,0,0,2,0,-2,0,0,2
249,6,1,-14,5,0,0,0,2,0,0,0,0,0
250,6,1,7,150,0,0,0,2,0,0,0,0,2
251,6,1,-56,25,0,0,0,2,0,1,0,0,0
252,6,1,7,30,0,0,0,2,0,2,0,0,0
253,6,1,1,15,0,0,1,1,0,-1,1,0,1
254,6,1,14,5,0,0,1,2,0,-1,0,0,0
255,6,1,-1,180,0,0,2,1,0,-1,1,0,2
256,6,1,-7,30,0,0,2,2,0,0,0,0,0
257,6,1,-1,15,1,0,0,0,0,0,1,0,1
258,6,1,1,15,1,0,0,1,0,-1,0,0,2
259,6,1,-6,1,1,0,0,1,0,0,0,0,0
260,6,1,1,3,1,0,0,1,0,1,0,0,0
261,6,1,1,15,1,0,1,0,0,0,1,0,0
262,6,1,1,180,1,0,1,0,0,0,1,0,2
263,6,1,14,5,1,0,1,1,0,-1,0,0,0
264,6,1,-1,180,1,0,1,1,0,0,0,0,2
265,6,1,1,2,1,0,1,1,0,1,0,0,0
266,6,1,-1,36,1,0,1,1,0,2,0,0,0
267,6,1,-1,180,1,0,2,0,0,0,1,0,1
268,6,1,-1,3,1,0,2,1,0,-1,0,0,0
269,6,1,-7,30,1,0,2,1,0,0,0,0,0
270,6,1,1,36,1,0,4,1,0,-1,0,0,0
271,7,0,1,15,0,0,0,1,0,1,1,0,0
272,7,0,-1,180,0,0,0,1,0,2,1,0,1
273,7,0,14,5,0,0,0,2,0,0,0,0,0
274,7,0,-7,30,0,0,0,2,0,2,0,0,0
275,7,0,-1,15,0,0,1,1,0,-1,1,0,1
276,7,0,-14,5,0,0,1,2,0,-1,0,0,0
277,7,0,1,180,0,0,2,1,0,-1,1,0,2
278,7,0,7,30,0,0,2,2,0,0,0,0,0
279,7,0,1,15,1,0,0,0,0,0,1,0,1
280,7,0,14,5,1,0,0,1,0,0,0,0,0
281,7,0,-1,3,1,0,0,1,0,1,0,0,0
282,7,0,-1,15,1,0,1,0,0,0,1,0,0
283,7,0,-1,180,1,0,1,0,0,0,1,0,2
284,7,0,-14,5,1,0,1,1,0,-1,0,0,0
285,7,0,-7,30,1,0,1,1,0,1,0,0,0
286,7,0,1,36,1,0,1,1,0,2,0,0,0
287,7,0,1,180,1,0,2,0,0,0,1,0,1
288,7,0,1,3,1,0,2,1,0,-1,0,0,0
289,7,0,7,30,1,0,2,1,0,0,0,0,0
290,7,0,-1,36,1,0,4,1,0,-1,0,0,0
291,7,1,-1,75,0,0,0,1,0,-2,1,0,3
