candidate_id,generator_id,quotient_intertwiner_residual_nonzero_count,unit_residual_nonzero_count,product_residual_nonzero_count,product_preserved_flag
0,0,0,0,145412,0
0,1,0,0,147893,0
0,2,0,0,128481,0
0,3,0,0,145895,0
0,4,0,0,89018,0
0,5,0,0,92441,0
0,6,0,0,79106,0
0,7,0,0,100645,0
0,8,0,0,80815,0
1,0,0,0,145205,0
1,1,0,0,148110,0
1,2,0,0,128324,0
1,3,0,0,146158,0
1,4,0,0,89022,0
1,5,0,0,92413,0
1,6,0,0,79083,0
1,7,0,0,100677,0
1,8,0,0,80815,0
2,0,0,0,145172,0
2,1,0,0,148097,0
2,2,0,0,128347,0
2,3,0,0,146152,0
2,4,0,0,89003,0
2,5,0,0,92407,0
2,6,0,0,79074,0
2,7,0,0,100698,0
2,8,0,0,80815,0
3,0,0,0,145465,0
3,1,0,0,147980,0
3,2,0,0,128554,0
3,3,0,0,146135,0
3,4,0,0,89038,0
3,5,0,0,92401,0
3,6,0,0,79102,0
3,7,0,0,100629,0
3,8,0,0,80815,0
4,0,0,0,145374,0
4,1,0,0,152528,0
4,2,0,0,139270,0
4,3,0,0,147422,0
4,4,0,0,88955,0
4,5,0,0,86590,0
4,6,0,0,86827,0
4,7,0,0,92364,0
4,8,0,0,75123,0
5,0,0,0,145372,0
5,1,0,0,152475,0
5,2,0,0,139143,0
5,3,0,0,146284,0
5,4,0,0,88959,0
5,5,0,0,86590,0
5,6,0,0,86827,0
5,7,0,0,92364,0
5,8,0,0,75143,0
6,0,0,0,145397,0
6,1,0,0,152434,0
6,2,0,0,139128,0
6,3,0,0,146352,0
6,4,0,0,88940,0
6,5,0,0,86590,0
6,6,0,0,86827,0
6,7,0,0,92364,0
6,8,0,0,75164,0
7,0,0,0,145496,0
7,1,0,0,152365,0
7,2,0,0,139209,0
7,3,0,0,147515,0
7,4,0,0,88975,0
7,5,0,0,86590,0
7,6,0,0,86827,0
7,7,0,0,92364,0
7,8,0,0,75107,0
8,0,0,0,131947,0
8,1,0,0,133637,0
8,2,0,0,119066,0
8,3,0,0,134774,0
8,4,0,0,85738,0
8,5,0,0,84828,0
8,6,0,0,83708,0
8,7,0,0,102840,0
8,8,0,0,82435,0
9,0,0,0,131719,0
9,1,0,0,133612,0
9,2,0,0,118939,0
9,3,0,0,134758,0
9,4,0,0,85768,0
9,5,0,0,84826,0
9,6,0,0,83685,0
9,7,0,0,102798,0
9,8,0,0,82435,0
10,0,0,0,131728,0
10,1,0,0,133589,0
10,2,0,0,118961,0
10,3,0,0,134753,0
10,4,0,0,85749,0
10,5,0,0,84820,0
10,6,0,0,83676,0
10,7,0,0,102819,0
10,8,0,0,82435,0
11,0,0,0,131978,0
11,1,0,0,133665,0
11,2,0,0,119073,0
11,3,0,0,134866,0
11,4,0,0,85770,0
11,5,0,0,84812,0
11,6,0,0,83704,0
11,7,0,0,102752,0
11,8,0,0,82435,0
12,0,0,0,132370,0
12,1,0,0,132922,0
12,2,0,0,131764,0
12,3,0,0,133625,0
12,4,0,0,86341,0
12,5,0,0,84981,0
12,6,0,0,91357,0
12,7,0,0,95251,0
12,8,0,0,82377,0
13,0,0,0,132096,0
13,1,0,0,132902,0
13,2,0,0,131612,0
13,3,0,0,133346,0
13,4,0,0,86371,0
13,5,0,0,84981,0
13,6,0,0,91357,0
13,7,0,0,95251,0
13,8,0,0,82323,0
14,0,0,0,132114,0
14,1,0,0,132866,0
14,2,0,0,131621,0
14,3,0,0,133441,0
14,4,0,0,86352,0
14,5,0,0,84981,0
14,6,0,0,91357,0
14,7,0,0,95251,0
14,8,0,0,82344,0
15,0,0,0,132338,0
15,1,0,0,132852,0
15,2,0,0,131758,0
15,3,0,0,133939,0
15,4,0,0,86373,0
15,5,0,0,84981,0
15,6,0,0,91357,0
15,7,0,0,95251,0
15,8,0,0,82289,0
16,0,0,0,137787,0
16,1,0,0,138983,0
16,2,0,0,128193,0
16,3,0,0,137616,0
16,4,0,0,87404,0
16,5,0,0,89464,0
16,6,0,0,89409,0
16,7,0,0,109028,0
16,8,0,0,82390,0
17,0,0,0,137510,0
17,1,0,0,138920,0
17,2,0,0,128064,0
17,3,0,0,137542,0
17,4,0,0,87434,0
17,5,0,0,89462,0
17,6,0,0,89386,0
17,7,0,0,108986,0
17,8,0,0,82390,0
18,0,0,0,137517,0
18,1,0,0,138906,0
18,2,0,0,128073,0
18,3,0,0,137531,0
18,4,0,0,87415,0
18,5,0,0,89456,0
18,6,0,0,89377,0
18,7,0,0,109007,0
18,8,0,0,82390,0
19,0,0,0,137693,0
19,1,0,0,139001,0
19,2,0,0,128222,0
19,3,0,0,137716,0
19,4,0,0,87436,0
19,5,0,0,89448,0
19,6,0,0,89405,0
19,7,0,0,108940,0
19,8,0,0,82390,0
20,0,0,0,138763,0
20,1,0,0,138340,0
20,2,0,0,138210,0
20,3,0,0,138300,0
20,4,0,0,88134,0
20,5,0,0,89682,0
20,6,0,0,97254,0
20,7,0,0,101013,0
20,8,0,0,82925,0
21,0,0,0,138446,0
21,1,0,0,138296,0
21,2,0,0,138161,0
21,3,0,0,138019,0
21,4,0,0,88164,0
21,5,0,0,89682,0
21,6,0,0,97254,0
21,7,0,0,101013,0
21,8,0,0,82871,0
22,0,0,0,138467,0
22,1,0,0,138268,0
22,2,0,0,138154,0
22,3,0,0,138114,0
22,4,0,0,88145,0
22,5,0,0,89682,0
22,6,0,0,97254,0
22,7,0,0,101013,0
22,8,0,0,82892,0
23,0,0,0,138671,0
23,1,0,0,138296,0
23,2,0,0,138282,0
23,3,0,0,138646,0
23,4,0,0,88166,0
23,5,0,0,89682,0
23,6,0,0,97254,0
23,7,0,0,101013,0
23,8,0,0,82837,0
