edge_id,left_basis_id,right_basis_id,source0_boundary_count,source1_boundary_count,boundary_count,left_weak_class_code,right_weak_class_code,edge_lln_var_num,edge_lln_var_den
0,0,1,0,119,119,11,11,2141762,328225689
1,0,2,103,0,103,11,11,1855442,328225689
2,0,3,1,0,1,11,11,18116,328225689
3,1,2,0,1,1,11,11,18116,328225689
4,1,5,1,0,1,11,11,18116,328225689
5,1,20,43,0,43,11,11,777182,328225689
6,1,32,0,120,120,11,11,2159640,328225689
7,2,3,1,1,2,11,11,36230,328225689
8,2,8,102,0,102,11,11,1837530,328225689
9,3,6,2,0,2,11,11,36230,328225689
10,3,8,0,1,1,11,11,18116,328225689
11,4,7,0,128,128,11,11,2302592,328225689
12,4,11,19,0,19,11,11,343862,328225689
13,4,13,1,0,1,11,11,18116,328225689
14,4,19,0,128,128,11,11,2302592,328225689
15,5,8,0,8,8,11,11,144872,328225689
16,5,14,1,0,1,11,11,18116,328225689
17,5,20,0,8,8,11,11,144872,328225689
18,6,8,0,7,7,11,11,126770,328225689
19,6,16,2,0,2,11,11,36230,328225689
20,7,9,732,0,732,11,11,12725820,328225689
21,7,10,1,0,1,11,11,18116,328225689
22,7,11,0,3,3,11,11,54342,328225689
23,8,12,3,0,3,11,11,54342,328225689
24,8,14,0,3,3,11,11,54342,328225689
25,8,16,0,3,3,11,11,54342,328225689
26,8,22,99,0,99,11,11,1783782,328225689
27,9,10,0,3,3,11,11,54342,328225689
28,9,25,731,0,731,11,11,12709166,328225689
29,9,26,1,0,1,11,11,18116,328225689
30,10,11,0,3,3,11,11,54342,328225689
31,10,26,1,0,1,11,11,18116,328225689
32,11,13,1,7,8,11,11,144872,328225689
33,11,26,0,1,1,11,11,18116,328225689
34,11,27,18,0,18,11,11,325782,328225689
35,12,15,3,0,3,11,11,54342,328225689
36,12,16,0,5,5,11,11,90560,328225689
37,12,22,0,5,5,11,11,90560,328225689
38,13,17,1,0,1,11,11,18116,328225689
39,13,18,1,0,1,11,11,18116,328225689
40,13,19,0,9,9,11,11,162972,328225689
41,13,27,0,2,2,11,11,36230,328225689
42,14,20,0,9,9,11,11,162972,328225689
43,14,21,1,0,1,11,11,18116,328225689
44,14,22,0,6,6,11,11,108666,328225689
45,15,16,0,1,1,11,11,18116,328225689
46,15,22,0,1,1,11,11,18116,328225689
47,15,23,2,0,2,11,11,36230,328225689
48,15,40,1,0,1,11,11,18116,328225689
49,16,24,2,0,2,11,3,36230,328225689
50,17,18,0,1,1,11,11,18116,328225689
51,17,27,0,1,1,11,11,18116,328225689
52,17,28,1,0,1,11,11,18116,328225689
53,18,19,0,1,1,11,11,18116,328225689
54,18,29,1,0,1,11,11,18116,328225689
55,19,30,18,0,18,11,11,325782,328225689
56,19,31,2,0,2,11,11,36230,328225689
57,19,32,0,138,138,11,11,2481102,328225689
58,20,21,0,1,1,11,11,18116,328225689
59,20,32,0,18,18,11,11,325782,328225689
60,20,33,40,0,40,11,11,723080,328225689
61,20,34,1,0,1,11,11,18116,328225689
62,20,35,2,0,2,11,11,36230,328225689
63,21,22,0,1,1,11,11,18116,328225689
64,21,36,1,0,1,11,11,18116,328225689
65,22,23,0,1,1,11,11,18116,328225689
66,22,37,89,0,89,11,11,1604492,328225689
67,22,38,3,0,3,11,11,54342,328225689
68,22,39,7,0,7,11,11,126770,328225689
69,23,39,2,0,2,11,11,36230,328225689
70,23,40,0,1,1,11,11,18116,328225689
71,24,40,0,1,1,3,11,18116,328225689
72,24,41,2,0,2,3,3,36230,328225689
73,25,26,0,5,5,11,11,90560,328225689
74,25,63,731,0,731,11,11,12709166,328225689
75,26,27,0,4,4,11,11,72452,328225689
76,26,63,2,0,2,11,11,36230,328225689
77,27,28,0,1,1,11,11,18116,328225689
78,27,53,18,0,18,11,11,325782,328225689
79,28,29,0,1,1,11,11,18116,328225689
80,28,53,1,0,1,11,11,18116,328225689
81,29,30,0,1,1,11,11,18116,328225689
82,29,53,1,0,1,11,11,18116,328225689
83,30,31,0,1,1,11,11,18116,328225689
84,30,59,18,0,18,11,11,325782,328225689
85,31,32,0,1,1,11,11,18116,328225689
86,31,59,2,0,2,11,11,36230,328225689
87,32,33,0,1,1,11,11,18116,328225689
88,32,57,64,0,64,11,11,1155392,328225689
89,33,34,0,1,1,11,11,18116,328225689
90,33,44,40,0,40,11,11,723080,328225689
91,34,35,0,1,1,11,11,18116,328225689
92,34,44,1,0,1,11,11,18116,328225689
93,35,36,0,1,1,11,11,18116,328225689
94,35,44,2,0,2,11,11,36230,328225689
95,36,37,0,1,1,11,11,18116,328225689
96,36,44,1,0,1,11,11,18116,328225689
97,37,38,0,1,1,11,11,18116,328225689
98,37,42,89,0,89,11,11,1604492,328225689
99,38,39,0,1,1,11,11,18116,328225689
100,38,42,3,0,3,11,11,54342,328225689
101,39,40,0,1,1,11,11,18116,328225689
102,39,42,9,0,9,11,11,162972,328225689
103,40,41,0,1,1,11,3,18116,328225689
104,40,42,1,0,1,11,11,18116,328225689
105,41,42,2,0,2,3,11,36230,328225689
106,42,43,2,0,2,11,11,36230,328225689
107,42,44,0,58,58,11,11,1047422,328225689
108,42,55,102,0,102,11,11,1837530,328225689
109,43,45,1,0,1,11,11,18116,328225689
110,43,46,1,0,1,11,11,18116,328225689
111,43,55,0,5,5,11,11,90560,328225689
112,44,47,1,0,1,11,11,18116,328225689
113,44,50,43,0,43,11,11,777182,328225689
114,44,55,0,7,7,11,11,126770,328225689
115,44,57,0,65,65,11,11,1173380,328225689
116,45,46,0,2,2,11,11,36230,328225689
117,45,48,1,0,1,11,3,18116,328225689
118,45,55,0,2,2,11,11,36230,328225689
119,46,48,1,0,1,11,3,18116,328225689
120,47,50,0,1,1,11,11,18116,328225689
121,47,54,1,0,1,11,11,18116,328225689
122,47,55,0,1,1,11,11,18116,328225689
123,48,49,2,0,2,3,11,36230,328225689
124,48,55,0,1,1,3,11,18116,328225689
125,49,51,1,0,1,11,11,18116,328225689
126,49,52,1,0,1,11,11,18116,328225689
127,49,55,0,3,3,11,11,54342,328225689
128,50,54,0,5,5,11,11,90560,328225689
129,50,57,0,6,6,11,11,108666,328225689
130,50,60,42,0,42,11,11,759150,328225689
131,50,72,1,0,1,11,11,18116,328225689
132,51,52,0,2,2,11,11,36230,328225689
133,51,55,0,2,2,11,11,36230,328225689
134,51,56,1,0,1,11,11,18116,328225689
135,52,56,1,0,1,11,11,18116,328225689
136,53,59,0,72,72,11,11,1299240,328225689
137,53,63,0,72,72,11,11,1299240,328225689
138,53,64,18,0,18,11,11,325782,328225689
139,53,65,2,0,2,11,11,36230,328225689
140,54,55,0,6,6,11,11,108666,328225689
141,54,61,1,0,1,11,11,18116,328225689
142,54,72,0,1,1,11,11,18116,328225689
143,55,56,0,1,1,11,11,18116,328225689
144,55,74,92,0,92,11,11,1658300,328225689
145,55,75,10,0,10,11,11,181070,328225689
146,56,58,2,0,2,11,11,36230,328225689
147,57,59,0,73,73,11,11,1317212,328225689
148,57,60,0,2,2,11,11,36230,328225689
149,57,68,62,0,62,11,11,1119410,328225689
150,57,69,2,0,2,11,11,36230,328225689
151,58,62,2,0,2,11,3,36230,328225689
152,58,75,0,2,2,11,11,36230,328225689
153,59,65,0,3,3,11,11,54342,328225689
154,59,66,18,0,18,11,11,325782,328225689
155,59,67,2,0,2,11,11,36230,328225689
156,59,68,0,2,2,11,11,36230,328225689
157,60,69,0,2,2,11,11,36230,328225689
158,60,70,41,0,41,11,11,741116,328225689
159,60,71,1,0,1,11,11,18116,328225689
160,60,72,0,4,4,11,11,72452,328225689
161,61,72,0,3,3,11,11,54342,328225689
162,61,73,1,0,1,11,11,18116,328225689
163,61,74,0,3,3,11,11,54342,328225689
164,62,75,0,1,1,3,11,18116,328225689
165,62,76,2,0,2,3,3,36230,328225689
166,63,64,0,4,4,11,11,72452,328225689
167,63,83,733,0,733,11,11,12742472,328225689
168,64,65,0,4,4,11,11,72452,328225689
169,64,84,18,0,18,11,11,325782,328225689
170,65,66,0,1,1,11,11,18116,328225689
171,65,84,2,0,2,11,11,36230,328225689
172,66,67,0,1,1,11,11,18116,328225689
173,66,77,18,0,18,11,11,325782,328225689
174,67,68,0,1,1,11,11,18116,328225689
175,67,77,2,0,2,11,11,36230,328225689
176,68,69,0,3,3,11,11,54342,328225689
177,68,88,62,0,62,11,11,1119410,328225689
178,69,70,0,1,1,11,11,18116,328225689
179,69,88,2,0,2,11,11,36230,328225689
180,70,71,0,1,1,11,11,18116,328225689
181,70,89,41,0,41,11,11,741116,328225689
182,71,72,0,1,1,11,11,18116,328225689
183,71,89,1,0,1,11,11,18116,328225689
184,72,73,0,1,1,11,11,18116,328225689
185,72,89,1,0,1,11,11,18116,328225689
186,73,74,0,1,1,11,11,18116,328225689
187,73,89,1,0,1,11,11,18116,328225689
188,74,75,0,4,4,11,11,72452,328225689
189,74,79,92,0,92,11,11,1658300,328225689
190,75,76,0,1,1,11,3,18116,328225689
191,75,79,10,0,10,11,11,181070,328225689
192,76,79,2,0,2,3,11,36230,328225689
193,77,78,1,0,1,11,11,18116,328225689
194,77,80,19,0,19,11,11,343862,328225689
195,77,84,0,70,70,11,11,1263290,328225689
196,77,88,0,70,70,11,11,1263290,328225689
197,78,80,0,3,3,11,11,54342,328225689
198,78,81,1,0,1,11,11,18116,328225689
199,78,88,0,3,3,11,11,54342,328225689
200,79,82,5,0,5,11,11,90560,328225689
201,79,89,0,74,74,11,11,1335182,328225689
202,79,90,95,0,95,11,11,1712090,328225689
203,79,91,4,0,4,11,11,72452,328225689
204,80,81,0,2,2,11,11,36230,328225689
205,80,84,0,5,5,11,11,90560,328225689
206,80,85,10,0,10,11,11,181070,328225689
207,80,86,8,0,8,11,11,144872,328225689
208,80,87,1,0,1,11,11,18116,328225689
209,81,87,1,0,1,11,11,18116,328225689
210,81,88,0,2,2,11,11,36230,328225689
211,82,91,0,1,1,11,11,18116,328225689
212,82,92,2,0,2,11,11,36230,328225689
213,82,93,2,0,2,11,11,36230,328225689
214,82,94,1,0,1,11,11,18116,328225689
215,83,84,0,76,76,11,11,1371116,328225689
216,83,126,733,0,733,11,11,12742472,328225689
217,84,85,0,1,1,11,11,18116,328225689
218,84,102,20,0,20,11,11,361940,328225689
219,85,86,0,1,1,11,11,18116,328225689
220,85,107,10,0,10,11,11,181070,328225689
221,86,87,0,1,1,11,11,18116,328225689
222,86,107,8,0,8,11,11,144872,328225689
223,87,88,0,1,1,11,11,18116,328225689
224,87,107,2,0,2,11,11,36230,328225689
225,88,89,0,76,76,11,11,1371116,328225689
226,88,108,64,0,64,11,11,1155392,328225689
227,89,90,0,2,2,11,11,36230,328225689
228,89,103,44,0,44,11,11,795212,328225689
229,90,91,0,2,2,11,11,36230,328225689
230,90,95,95,0,95,11,11,1712090,328225689
231,91,92,0,1,1,11,11,18116,328225689
232,91,95,4,0,4,11,11,72452,328225689
233,92,93,0,1,1,11,11,18116,328225689
234,92,95,2,0,2,11,11,36230,328225689
235,93,94,0,1,1,11,11,18116,328225689
236,93,95,2,0,2,11,11,36230,328225689
237,94,95,1,0,1,11,11,18116,328225689
238,95,96,103,0,103,11,11,1855442,328225689
239,95,98,1,0,1,11,11,18116,328225689
240,95,103,0,200,200,11,11,3583400,328225689
241,96,97,102,0,102,11,11,1837530,328225689
242,96,98,1,2,3,11,11,54342,328225689
243,96,103,0,2,2,11,11,36230,328225689
244,97,98,1,1,2,11,11,36230,328225689
245,97,103,0,1,1,11,11,18116,328225689
246,97,123,101,0,101,11,11,1819616,328225689
247,98,99,2,0,2,11,11,36230,328225689
248,98,105,1,0,1,11,11,18116,328225689
249,98,123,0,5,5,11,11,90560,328225689
250,99,100,2,0,2,11,11,36230,328225689
251,99,105,0,3,3,11,11,54342,328225689
252,100,101,1,0,1,11,11,18116,328225689
253,100,104,1,0,1,11,11,18116,328225689
254,100,105,0,4,4,11,11,72452,328225689
255,101,104,1,1,2,11,11,36230,328225689
256,101,105,0,1,1,11,11,18116,328225689
257,102,107,0,220,220,11,11,3937340,328225689
258,102,116,19,0,19,11,11,343862,328225689
259,102,117,1,0,1,11,11,18116,328225689
260,102,126,0,220,220,11,11,3937340,328225689
261,103,108,0,220,220,11,11,3937340,328225689
262,103,121,43,0,43,11,11,777182,328225689
263,103,122,1,0,1,11,11,18116,328225689
264,103,123,0,17,17,11,11,307700,328225689
265,104,105,0,4,4,11,11,72452,328225689
266,104,106,2,0,2,11,11,36230,328225689
267,105,106,0,1,1,11,11,18116,328225689
268,105,109,1,0,1,11,11,18116,328225689
269,105,123,0,13,13,11,11,235352,328225689
270,106,109,0,7,7,11,11,126770,328225689
271,106,110,2,0,2,11,11,36230,328225689
272,107,108,0,233,233,11,11,4166972,328225689
273,107,113,2,0,2,11,11,36230,328225689
274,107,117,0,13,13,11,11,235352,328225689
275,107,131,18,0,18,11,11,325782,328225689
276,108,111,60,0,60,11,11,1083420,328225689
277,108,113,0,2,2,11,11,36230,328225689
278,108,121,0,15,15,11,11,271530,328225689
279,108,135,4,0,4,11,11,72452,328225689
280,109,110,0,7,7,11,11,126770,328225689
281,109,112,1,0,1,11,11,18116,328225689
282,109,123,0,14,14,11,11,253442,328225689
283,110,112,0,1,1,11,11,18116,328225689
284,110,115,2,0,2,11,11,36230,328225689
285,111,113,0,2,2,11,11,36230,328225689
286,111,119,51,0,51,11,11,921366,328225689
287,111,120,3,0,3,11,11,54342,328225689
288,111,135,6,2,8,11,11,144872,328225689
289,112,114,1,0,1,11,11,18116,328225689
290,112,115,0,1,1,11,11,18116,328225689
291,112,123,0,2,2,11,11,36230,328225689
292,113,118,2,0,2,11,11,36230,328225689
293,113,119,0,1,1,11,11,18116,328225689
294,113,131,0,5,5,11,11,90560,328225689
295,114,115,0,1,1,11,11,18116,328225689
296,114,123,0,1,1,11,11,18116,328225689
297,114,124,1,0,1,11,11,18116,328225689
298,115,124,1,0,1,11,11,18116,328225689
299,115,125,1,0,1,11,11,18116,328225689
300,116,117,0,19,19,11,11,343862,328225689
301,116,126,0,19,19,11,11,343862,328225689
302,116,127,15,0,15,11,11,271530,328225689
303,116,128,1,0,1,11,11,18116,328225689
304,116,129,3,0,3,11,11,54342,328225689
305,117,130,1,0,1,11,11,18116,328225689
306,117,131,0,6,6,11,11,108666,328225689
307,118,119,0,1,1,11,11,18116,328225689
308,118,131,0,1,1,11,11,18116,328225689
309,118,132,1,0,1,11,11,18116,328225689
310,118,133,1,0,1,11,11,18116,328225689
311,119,120,0,2,2,11,11,36230,328225689
312,119,134,43,0,43,11,11,777182,328225689
313,119,135,8,0,8,11,11,144872,328225689
314,120,135,3,2,5,11,11,90560,328225689
315,121,122,0,19,19,11,11,343862,328225689
316,121,135,0,4,4,11,11,72452,328225689
317,121,136,36,0,36,11,11,650916,328225689
318,121,137,7,0,7,11,11,126770,328225689
319,122,123,0,19,19,11,11,343862,328225689
320,122,138,1,0,1,11,11,18116,328225689
321,123,124,0,1,1,11,11,18116,328225689
322,123,139,74,0,74,11,11,1335182,328225689
323,123,140,4,0,4,11,11,72452,328225689
324,123,141,21,0,21,11,11,380016,328225689
